Country Name,Country Code,Region,Year,LifeExpectancy
Marshall Islands,MHL,East Asia & Pacific,1974,60.12
"Korea, Rep.",KOR,East Asia & Pacific,1974,63.8048780487805
China,CHN,East Asia & Pacific,1974,60.241
Singapore,SGP,East Asia & Pacific,1974,69.89451219512196
Vanuatu,VUT,East Asia & Pacific,1974,57.572
Palau,PLW,East Asia & Pacific,1974,59.492
French Polynesia,PYF,East Asia & Pacific,1974,63.778
Marshall Islands,MHL,East Asia & Pacific,1975,60.273
"Korea, Rep.",KOR,East Asia & Pacific,1975,64.15365853658537
China,CHN,East Asia & Pacific,1975,60.952
Singapore,SGP,East Asia & Pacific,1975,70.40551219512196
Vanuatu,VUT,East Asia & Pacific,1975,58.133
Palau,PLW,East Asia & Pacific,1975,59.998
French Polynesia,PYF,East Asia & Pacific,1975,64.249
Marshall Islands,MHL,East Asia & Pacific,1976,60.416
"Korea, Rep.",KOR,East Asia & Pacific,1976,64.50243902439024
China,CHN,East Asia & Pacific,1976,61.225
Singapore,SGP,East Asia & Pacific,1976,70.74704878048782
Vanuatu,VUT,East Asia & Pacific,1976,58.664
Palau,PLW,East Asia & Pacific,1976,60.469
French Polynesia,PYF,East Asia & Pacific,1976,64.761
Marshall Islands,MHL,East Asia & Pacific,1977,60.572
"Korea, Rep.",KOR,East Asia & Pacific,1977,64.9
China,CHN,East Asia & Pacific,1977,62.458
Singapore,SGP,East Asia & Pacific,1977,71.02612195121951
Vanuatu,VUT,East Asia & Pacific,1977,59.247
Palau,PLW,East Asia & Pacific,1977,60.899
French Polynesia,PYF,East Asia & Pacific,1977,65.31
Marshall Islands,MHL,East Asia & Pacific,1978,60.701
"Korea, Rep.",KOR,East Asia & Pacific,1978,65.19756097560976
China,CHN,East Asia & Pacific,1978,63.102
Singapore,SGP,East Asia & Pacific,1978,71.28356097560977
Vanuatu,VUT,East Asia & Pacific,1978,59.881
Palau,PLW,East Asia & Pacific,1978,61.294
French Polynesia,PYF,East Asia & Pacific,1978,65.891
Marshall Islands,MHL,East Asia & Pacific,1979,60.845
"Korea, Rep.",KOR,East Asia & Pacific,1979,65.54634146341465
China,CHN,East Asia & Pacific,1979,63.704
Singapore,SGP,East Asia & Pacific,1979,71.46175609756098
Vanuatu,VUT,East Asia & Pacific,1979,60.893
Palau,PLW,East Asia & Pacific,1979,61.616
French Polynesia,PYF,East Asia & Pacific,1979,66.612
Marshall Islands,MHL,East Asia & Pacific,1980,60.989
"Korea, Rep.",KOR,East Asia & Pacific,1980,66.04634146341465
China,CHN,East Asia & Pacific,1980,64.243
Singapore,SGP,East Asia & Pacific,1980,72.19024390243904
Vanuatu,VUT,East Asia & Pacific,1980,61.322
Palau,PLW,East Asia & Pacific,1980,61.909
French Polynesia,PYF,East Asia & Pacific,1980,67.405
Marshall Islands,MHL,East Asia & Pacific,1981,61.139
"Korea, Rep.",KOR,East Asia & Pacific,1981,66.54634146341465
China,CHN,East Asia & Pacific,1981,64.778
Singapore,SGP,East Asia & Pacific,1981,72.58780487804879
Vanuatu,VUT,East Asia & Pacific,1981,61.95
Palau,PLW,East Asia & Pacific,1981,62.142
French Polynesia,PYF,East Asia & Pacific,1981,68.157
Marshall Islands,MHL,East Asia & Pacific,1982,61.293
"Korea, Rep.",KOR,East Asia & Pacific,1982,67.09512195121953
China,CHN,East Asia & Pacific,1982,65.249
Singapore,SGP,East Asia & Pacific,1982,72.68780487804878
Vanuatu,VUT,East Asia & Pacific,1982,62.54
Palau,PLW,East Asia & Pacific,1982,62.333
French Polynesia,PYF,East Asia & Pacific,1982,68.922
Marshall Islands,MHL,East Asia & Pacific,1983,61.452
"Korea, Rep.",KOR,East Asia & Pacific,1983,67.54634146341465
China,CHN,East Asia & Pacific,1983,65.728
Singapore,SGP,East Asia & Pacific,1983,73.03658536585368
Vanuatu,VUT,East Asia & Pacific,1983,63.075
Palau,PLW,East Asia & Pacific,1983,62.477
French Polynesia,PYF,East Asia & Pacific,1983,69.702
Marshall Islands,MHL,East Asia & Pacific,1984,61.602
"Korea, Rep.",KOR,East Asia & Pacific,1984,68.19512195121952
China,CHN,East Asia & Pacific,1984,66.148
Singapore,SGP,East Asia & Pacific,1984,73.29024390243903
Vanuatu,VUT,East Asia & Pacific,1984,63.519
Palau,PLW,East Asia & Pacific,1984,62.638
French Polynesia,PYF,East Asia & Pacific,1984,70.559
Marshall Islands,MHL,East Asia & Pacific,1985,61.712
"Korea, Rep.",KOR,East Asia & Pacific,1985,68.79512195121951
China,CHN,East Asia & Pacific,1985,66.532
Singapore,SGP,East Asia & Pacific,1985,73.89024390243904
Vanuatu,VUT,East Asia & Pacific,1985,63.927
Palau,PLW,East Asia & Pacific,1985,62.72
French Polynesia,PYF,East Asia & Pacific,1985,71.203
Marshall Islands,MHL,East Asia & Pacific,1986,61.778
"Korea, Rep.",KOR,East Asia & Pacific,1986,69.44634146341464
China,CHN,East Asia & Pacific,1986,66.887
Singapore,SGP,East Asia & Pacific,1986,74.24634146341464
Vanuatu,VUT,East Asia & Pacific,1986,64.618
Palau,PLW,East Asia & Pacific,1986,62.752
French Polynesia,PYF,East Asia & Pacific,1986,71.967
